ticker,description
1519.HK,J&T EXPRESS-W
1308.HK,SITC
6069.HK,SY HOLDINGS
2533.HK,BLACK SESAME
1821.HK,ESR
1368.HK,XTEP INT'L
2460.HK,CR BEVERAGE
1258.HK,CHINFMINING
2162.HK,KEYMED BIO-B
0354.HK,CHINASOFT INT'L
9966.HK,ALPHAMAB-B
6823.HK,HKT-SS
9699.HK,SF INTRA-CITY
80388.HK,HKEX-R
0568.HK,SHANDONG MOLONG
1364.HK,GUMING
6869.HK,YOFC
0293.HK,CATHAY PAC AIR
3808.HK,SINOTRUK
1167.HK,JACOBIO-B
6936.HK,SF HOLDING
2696.HK,HENLIUS
2618.HK,JD LOGISTICS
2186.HK,LUYE PHARMA
1070.HK,TCL ELECTRONICS
2611.HK,GTHT
0136.HK,CHINA RUYI
6088.HK,FIT HON TENG
0179.HK,JOHNSON ELEC H
3311.HK,CHINA STATE CON
1558.HK,HEC CJ PHARM
1316.HK,NEXTEER
2607.HK,SH PHARMA
2158.HK,YIDU TECH
3898.HK,TIMES ELECTRIC
2555.HK,CHABAIDAO
0914.HK,CONCH CEMENT
6818.HK,CEB BANK
2400.HK,XD INC
6060.HK,ZA ONLINE
2616.HK,CSTONE PHARMA-B
1055.HK,CHINA SOUTH AIR
1672.HK,ASCLETIS-B
1896.HK,MAOYAN ENT
1138.HK,COSCO SHIP ENGY
0189.HK,DONGYUE GROUP
0697.HK,SHOUCHENG
2171.HK,CARSGEN-B
2196.HK,FOSUN PHARMA
1833.HK,PA GOODDOCTOR
3900.HK,GREENTOWN CHINA
6078.HK,HYGEIA HEALTH
0880.HK,SJM HOLDINGS
2273.HK,GUSHENGTANG
0340.HK,TONGGUAN GOLD
2858.HK,YIXIN
2888.HK,STANCHART
1128.HK,WYNN MACAU
2666.HK,UNI MEDICAL
9922.HK,JIUMAOJIU
1910.HK,SAMSONITE
2218.HK,ANDRE JUICE
9636.HK,JF SMARTINVEST
6886.HK,HTSC
0303.HK,VTECH HOLDINGS
0390.HK,CHINA RAILWAY
2157.HK,LEPU BIO-B
0019.HK,SWIRE PACIFIC A
6680.HK,JLMAG
2556.HK,MARKETINGFORCE
3320.HK,CHINARES PHARMA
1274.HK,IMOTIONTECH
1038.HK,CKI HOLDINGS
1913.HK,PRADA
0144.HK,CHINA MER PORT
1071.HK,HUADIAN POWER
0522.HK,ASMPT
2155.HK,MORIMATSU INTL
0586.HK,CONCH VENTURE
6098.HK,CG SERVICES
3606.HK,FUYAO GLASS
0576.HK,ZHEJIANGEXPRESS
2208.HK,GOLDWIND
1797.HK,EAST BUY
0384.HK,CHINA GAS HOLD
0392.HK,BEIJING ENT
1880.HK,CTG DUTY-FREE
0371.HK,BJ ENT WATER
1513.HK,LIVZON PHARMA
9676.HK,SHIYUE DAOTIAN
2233.HK,WESTCHINACEMENT
1735.HK,CENTRAL NEW EGY
0551.HK,YUE YUEN IND
6099.HK,CMSC
0667.HK,CHINA EAST EDU
0719.HK,SHANDONG XINHUA
1800.HK,CHINA COMM CONS
1997.HK,WHARF REIC
1044.HK,HENGAN INT'L
3323.HK,CNBM
6110.HK,TOPSPORTS
2588.HK,BOC AVIATION
1651.HK,TSUGAMI CHINA
2172.HK,MICROPORT NEURO
1766.HK,CRRC
9606.HK,DUALITYBIO-B
2488.HK,LAUNCH TECH
0220.HK,U-PRESID CHINA
1686.HK,SUNEVISION
1541.HK,IMMUNEONCO-B
1341.HK,HAO TIAN INTL
1157.HK,ZOOMLION
0083.HK,SINO LAND
2799.HK,CITIC FAMC
1415.HK,COWELL
0270.HK,GUANGDONG INV
1815.HK,EVEREST GOLD
0101.HK,HANG LUNG PPT
1066.HK,WEIGAO GROUP
1698.HK,TME-SW
2276.HK,CONANT OPTICAL
9997.HK,KANGJI MEDICAL
1776.HK,GF SEC
2255.HK,HAICHANG HLDG
2282.HK,MGM CHINA
0187.HK,JINGCHENG MAC
0553.HK,NANJING PANDA
1477.HK,OCUMENSION-B
6831.HK,GREEN TEA GROUP
1882.HK,HAITIAN INT'L
2256.HK,ABBISKO-B
2866.HK,COSCO SHIP DEV
0868.HK,XINYI GLASS
2507.HK,CIRRUS
2005.HK,SSY GROUP
6963.HK,SUNSHINE INS
0639.HK,SHOUGANG RES
0257.HK,EB ENVIRONMENT
1302.HK,LIFETECH SCI
2192.HK,MEDLIVE
1372.HK,C CARBONNEUTRAL
0152.HK,SHENZHEN INT'L
0856.HK,VSTECS
0552.HK,CHINACOMSERVICE
0148.HK,KINGBOARD HLDG
1186.HK,CHINA RAIL CONS
2238.HK,GAC GROUP
9696.HK,TIANQI LITHIUM
1199.HK,COSCO SHIP PORT
1888.HK,KB LAMINATES
0123.HK,YUEXIU PROPERTY
0863.HK,OSL GROUP
0991.HK,DATANG POWER
0696.HK,TRAVELSKY TECH
0177.HK,JIANGSU EXPRESS
0917.HK,QUNABOX GROUP
6066.HK,CSC
6865.HK,FLAT GLASS
0151.HK,WANT WANT CHINA
0200.HK,MELCO INT'L DEV
2149.HK,BATELAB
3360.HK,FE HORIZON
3931.HK,CALB
1072.HK,DONGFANG ELEC
2586.HK,DMALL
1359.HK,CHINA CINDA
2669.HK,CHINA OVS PPT
0570.HK,TRAD CHI MED
0817.HK,CHINA JINMAO
1610.HK,COFCO JOYCOME
2121.HK,AINNOVATION
6979.HK,ZJLD
3969.HK,CHINA CRSC
1972.HK,SWIREPROPERTIES
2510.HK,TS LINES
1164.HK,CGN MINING
0297.HK,SINOFERT
0357.HK,MEILAN AIRPORT
0956.HK,CHINA SUNTIEN
1361.HK,361 DEGREES
0670.HK,CHINA EAST AIR
1908.HK,C&D INTL GROUP
0598.HK,SINOTRANS
0107.HK,SICHUAN EXPRESS
2285.HK,CHERVON
2562.HK,SYNAGISTICS
0017.HK,NEW WORLD DEV
2883.HK,CHINA OILFIELD
1579.HK,YIHAI INTL
2016.HK,CZBANK
9923.HK,YEAHKA
6699.HK,ANGELALIGN
6601.HK,CHEERWIN GP
0546.HK,FUFENG GROUP
0819.HK,TIANNENG POWER
0314.HK,SIPAI HEALTH
2522.HK,RIMAG GROUP
9658.HK,SUPER HI
2232.HK,CRYSTAL INTL
0256.HK,CITYCHAMP
3668.HK,YANCOAL AUS
6198.HK,QINGDAO PORT
2291.HK,SCIENTECH
0317.HK,COMEC
80941.HK,CHINA MOBILE-R
1448.HK,FU SHOU YUAN
1681.HK,CONSUN PHARMA
1836.HK,STELLA HOLDINGS
3339.HK,LONKING
1691.HK,JS GLOBAL LIFE
2410.HK,TYK MEDICINES-B
2343.HK,PACIFIC BASIN
0004.HK,WHARF HOLDINGS
1999.HK,MAN WAH HLDGS
6826.HK,HAOHAI BIOTEC
0142.HK,FIRST PACIFIC
2727.HK,SH ELECTRIC
6086.HK,FANGZHOU JIANKE
2342.HK,COMBA
0564.HK,ZMJ
0139.HK,CENTRALWEALTHGP
9956.HK,ANE
0826.HK,TIANGONG INT'L
2550.HK,EASOU TECH
1030.HK,SEAZEN
0895.HK,DONGJIANG ENV
2722.HK,CHONGQING M&E
0038.HK,FIRST TRACTOR
1313.HK,CR BLDG MAT TEC
1263.HK,PC PARTNER
1858.HK,CHUNLI MEDICAL
0839.HK,CHINA EDU GROUP
1515.HK,CR MEDICAL
1478.HK,Q TECH
1458.HK,ZHOU HEI YA
0336.HK,HUABAO INTL
1907.HK,CHINA RISUN GP
9996.HK,PEIJIA-B
9890.HK,ZX INC
2602.HK,ONEWO
0666.HK,REPT BATTERO
0656.HK,FOSUN INTL
1798.HK,DATANG RENEW
2190.HK,ZYLOXTB
6049.HK,POLY PPT SER
9858.HK,YOURAN DAIRY
0596.HK,INSPUR DIGI ENT
0999.HK,XIAOCAIYUAN
2689.HK,ND PAPER
2582.HK,GUOFUHEE
1963.HK,BCQ
1789.HK,AK MEDICAL
2386.HK,SINOPEC SEG
2489.HK,PERSISTENCE RES
1508.HK,CHINA RE
1086.HK,GOODBABY INTL
1872.HK,GUAN CHAO HLDGS
2473.HK,XXF
1883.HK,CITIC TELECOM
0683.HK,KERRY PPT
0323.HK,MAANSHAN IRON
1137.HK,HK TECH VENTURE
2638.HK,HKELECTRIC-SS
2577.HK,INNOSCIENCE
0302.HK,CMGE
0921.HK,HISENSE HA
1333.HK,BRETON
9979.HK,GREENTOWN MGMT
3677.HK,ZENERGY
6996.HK,ANTENGENE-B
6622.HK,ZHAOKE OPHTH-B
2453.HK,CONCORD HC GP
0975.HK,MONGOL MINING
0855.HK,CHINA WATER
2487.HK,CUTIA-B
1277.HK,KINETIC DEV
3877.HK,CSSC SHIPPING
6806.HK,SWHY
0590.HK,LUK FOOK HOLD
3393.HK,WASION HOLDINGS
0909.HK,MING YUAN CLOUD
2589.HK,AUNTEA JENNY
0467.HK,UNITEDENERGY GP
2378.HK,PRU
0023.HK,BANK OF E ASIA
0815.HK,CHI SILVER GP
0579.HK,JNCEC
2469.HK,FENBI
0345.HK,VITASOY INT'L
