ticker,description
1870.HK,ACME INTL HLDGS
3383.HK,AGILE GROUP
0397.HK,MINERVA GROUP
3839.HK,CT ENTERPRISE
2076.HK,BOSS ZHIPIN-W
2878.HK,SOLOMON SYSTECH
0538.HK,AJISEN (CHINA)
0381.HK,AOM INT'L
0986.HK,DUFU LIQUOR GP
2571.HK,SAIMO
2625.HK,JIANGSU HORIZON
0355.HK,CENTURY C INT'L
1397.HK,BAGUIO GREEN
2459.HK,SANERGY GROUP
0899.HK,ZHONG JIA GX
2166.HK,SMART-CORE
0672.HK,ZHONGAN GROUP
6162.HK,TR INTERIORS
0419.HK,HONY MEDIA
0103.HK,SHOUGANG CENT
2219.HK,CHAOJU EYE CARE
1069.HK,CN HEALTH TECH
9889.HK,DRCB
0410.HK,SOHO CHINA
1848.HK,CALC
1812.HK,CHENMING PAPER
2881.HK,WUHAN YOUJI
3893.HK,CROSSTEC
1122.HK,QINGLING MOTORS
2185.HK,BIOHEART-B
1520.HK,VIRTUAL MIND
0178.HK,SA SA INT'L
0716.HK,SINGAMAS CONT
2156.HK,C&D PROPERTY
1631.HK,REF HOLDINGS
0034.HK,KOWLOON DEV
2012.HK,SUNSHINE OIL
1250.HK,SDHS NEW ENERGY
1593.HK,CHEN LIN EDU
1725.HK,USPACE TECH
6989.HK,EXCELLENCE CM
2129.HK,LEGION CONSO
2110.HK,TIAN CHENG HLDG
1830.HK,PERFECT MEDICAL
1489.HK,GC CONSTRUCTION
2399.HK,CN ANCHU ENERGY
6811.HK,TAI HING GROUP
1205.HK,CITIC RESOURCES
0210.HK,DAPHNE INT'L
0588.HK,BEIJING N STAR
0128.HK,ENM HOLDINGS
1616.HK,A METAVERSE
0563.HK,SH IND URBAN
0053.HK,GUOCO GROUP
3813.HK,POU SHENG INT'L
1981.HK,CATHAY GP HLDGS
0686.HK,BJ ENERGY I-NEW
0236.HK,SAN MIGUEL HK
81299.HK,AIA-R
1079.HK,PINE TECH
2003.HK,VCREDIT
1846.HK,EUROEYES
1011.HK,NT PHARMA
2260.HK,VANOV HOLDINGS
1259.HK,PROSPER FUTURE
1301.HK,D&G TECH
0124.HK,GD LAND
0035.HK,FE CONSORT INTL
2772.HK,ZHONGLIANG HLDG
0533.HK,GOLDLION HOLD
2187.HK,ZHIXIN GP HLDG
3883.HK,CHINA AOYUAN
2407.HK,GAUSH MEDITECH
0193.HK,CAPITAL ESTATE
0169.HK,WANDA HOTEL DEV
6959.HK,CHANGJIU HLDGS
1568.HK,SUNDART HLDGS
1713.HK,SICHUAN EN INV
1957.HK,MBV INTL
2519.HK,AUGROUP
1731.HK,PROSPEROUS IND
0626.HK,PUBLIC FIN HOLD
3681.HK,SINOMAB BIO-B
1640.HK,QIAN XUN TECH
0331.HK,FSE LIFESTYLE
9913.HK,CHI KAN HLDGS
0695.HK,DONGWU CEMENT
6610.HK,FLOWING CLOUD
6657.HK,BAIWANG CO
3662.HK,STARJOY W&T
0088.HK,TAI CHEUNG HOLD
1756.HK,CHI SCI&EDU IND
0301.HK,SANVO CHEMICALS
1184.HK,S.A.S. DRAGON
1003.HK,HUANXI MEDIA
89618.HK,JD-SWR
9955.HK,CLOUDR
0822.HK,KA SHUI INT'L
1726.HK,HKE HOLDINGS
81024.HK,KUAISHOU-WR
2559.HK,DIDA INC
1599.HK,UCD
1228.HK,CANBRIDGE-B
0727.HK,CROWNICORP
3833.HK,XINXIN MINING
0305.HK,WULING MOTORS
1009.HK,INT'L ENT
0031.HK,CHINA AEROSPACE
1130.HK,CHINA ENV RES
1110.HK,KINGWORLD
2197.HK,CLOVER BIO-B
0326.HK,CHINA STAR ENT
0382.HK,EDVANTAGE GROUP
0104.HK,ASIA COMM HOLD
2416.HK,EDIANYUN
0587.HK,CONCH ENVIRO
2198.HK,CHINA SANJIANG
3303.HK,JUTAL OIL SER
0907.HK,ELEGANCEOPTICAL
1612.HK,VINCENT MED
0199.HK,ITC PROPERTIES
0805.HK,NEW GONOW RV
1668.HK,CHINASOUTHCITY
6966.HK,C WAN TONG YUAN
1203.HK,GUANGNAN (HOLD)
6829.HK,DRAGON RISE GP
0337.HK,GREENLAND HK
0661.HK,CDAYENONFER
9960.HK,KINDSTAR GLOBAL
6668.HK,E-STAR CM
1857.HK,CEB WATER
0245.HK,CHINA VERED FIN
1943.HK,KING'S STONE
2551.HK,APT ELECTRONICS
1156.HK,CHINANEWENERGY
2170.HK,BASECARE-B
0605.HK,C FIN SERVICES
0873.HK,SHIMAO SERVICES
0411.HK,LAM SOON (HK)
0767.HK,ZHONG JI LS
1715.HK,VOLCANO SPRING
1270.HK,LANGHAM-SS
0635.HK,PLAYMATES
1501.HK,INT MEDICAL
0076.HK,ELATE HOLDINGS
2116.HK,JS INNOV
2512.HK,CLOUD FACTORY
1289.HK,SUNLIT SCI
1168.HK,SINOLINK HOLD
0497.HK,CSI PROPERTIES
3686.HK,CLIFFORDML
2451.HK,LUYUAN GP HLDG
2138.HK,EC HEALTHCARE
1223.HK,SYMPHONY HOLD
0194.HK,LIU CHONG HING
0451.HK,GCL NEWENERGY
2348.HK,DAWNRAYS PHARMA
0127.HK,CHINESE EST H
1345.HK,SH PIONEER HLDG
1732.HK,XIANGXING INT
0052.HK,FAIRWOOD HOLD
0547.HK,DIGITAL DOMAIN
1121.HK,GOLDENSOLAR
1481.HK,SMART GLOBE
1159.HK,SMART DIGI TECH
0229.HK,RAYMOND IND
0616.HK,EMINENCE ENT
2415.HK,MEDSCI
1717.HK,AUSNUTRIA
0933.HK,VIVA GOODS
0838.HK,EVA HOLDINGS
1161.HK,WATER OASIS GP
82333.HK,GREATWALL MOTOR
1147.HK,EDENSOFT
3680.HK,RUIHE DATA
1260.HK,WONDERFUL SKY
0951.HK,CHAOWEI POWER
1931.HK,IVD MEDICAL
1865.HK,PENGO HLDG GP
6828.HK,BG BLUE SKY
0361.HK,SINO GOLF HOLD
0051.HK,HARBOUR CENTRE
2886.HK,BINHAI INV
1551.HK,GRCB
0242.HK,SHUN TAK HOLD
0269.HK,CRTG
3737.HK,ZHONGZHIPHARM
0928.HK,KING INTL INV
1786.HK,CRCCE
1461.HK,ZHONGTAIFUTURES
1809.HK,PRINX CHENGSHAN
0837.HK,CARPENTER TAN
1980.HK,TIANGE
1247.HK,MIKO INTL
0255.HK,LUNG KEE
2127.HK,HUISEN SHARES
1045.HK,APT SATELLITE
2327.HK,MEILLEUREHEALTH
2122.HK,KIDSLAND INTL
1091.HK,SOUTH MANGANESE
0875.HK,CONGYU INTE AGR
0274.HK,RA SILK ROAD
2245.HK,LYGEND RESOURCE
1115.HK,TIBET WATER
2322.HK,MODERN INNO DT
3399.HK,YUEYUN TRANS
6922.HK,CRYOFOCUS-B
1499.HK,OKG TECH
1022.HK,FEIYU
2188.HK,TITANS ENERGY
2481.HK,WISE LIVING TEC
0865.HK,JIANDE INT'L
1226.HK,CH INV FIN GP
9928.HK,TIMES NEIGHBOR
3989.HK,CAPITAL ENV
1440.HK,STAR SHINE HLDG
6889.HK,DYNAM JAPAN
1905.HK,HAITONG UT
0032.HK,CROSS-HAR(HOLD)
0045.HK,HK&S HOTELS
1008.HK,LITU HOLDINGS
2392.HK,XUANWU CLOUD
2051.HK,51 CREDIT CARD
3658.HK,NEW HOPE SERV
6696.HK,MANY IDEA CLOUD
6113.HK,UTS MARKETING
1697.HK,SDITC
2540.HK,LESI GROUP
1446.HK,HUNGFOOKTONG
1662.HK,YEE HOP HLDGS
0082.HK,CRAZY SPORTS
0926.HK,BESUNYEN
1140.HK,WEALTHINK AI
0618.HK,PKU RESOURCES
1269.HK,FIRST CAP GP
2293.HK,BAMBOOSHEALTH
2251.HK,AIRDOC-B
2165.HK,LING YUE SER GP
0591.HK,C HIGHPRECISION
0690.HK,UNI-BIO GROUP
2355.HK,BAOYE GROUP
2439.HK,CH TREASURES NM
0147.HK,IB SETTLEMENT
1689.HK,HUAXIHOLDINGS
2389.HK,BJ HEALTH
0613.HK,PLANETREE INT'L
1473.HK,PANGAEA CONNECT
9990.HK,ARCHOSAUR GAMES
1097.HK,I-CABLE COMM
0164.HK,CHINA BAOLI TEC
6138.HK,HARBIN BANK
3301.HK,RONSHINECHINA
0677.HK,GOLDEN RES DEV
3300.HK,CHINA GLASS
0687.HK,TYSAN HOLDINGS
0505.HK,XINGYE ALLOY
1576.HK,QILU EXPRESSWAY
3718.HK,BJ ENT URBAN
0048.HK,C AUTO INT DECO
2499.HK,FOLANGSI
9983.HK,CC NEW LIFE
2789.HK,YUANDA CHINA
1808.HK,ENTERPRISE DEV
0040.HK,GOLD PEAK
2235.HK,MICROTECH MED-B
0508.HK,DINGYI GP INV
1948.HK,UJU HOLDING
0261.HK,GBA HOLDINGS
1940.HK,CGII HLDGS
0595.HK,AV CONCEPT HOLD
0746.HK,L & M CHEMICAL
1916.HK,JIANGXI BANK
0804.HK,PINESTONE
1813.HK,KWG GROUP
0240.HK,BUILD KING HOLD
0228.HK,CHINA ENERGY
2002.HK,SUNSHINE PAPER
0848.HK,MAOYE INT'L
2678.HK,TEXHONG INTL GP
0882.HK,TIANJIN DEV
2369.HK,COOLPAD GROUP
2136.HK,LIFESTYLE CHI
1563.HK,ALLI INTL ED LE
0897.HK,WAI YUEN TONG
1233.HK,TIMES CHINA
1856.HK,ERNEST BOREL
1335.HK,SHEEN TAI
1433.HK,CIRTEK HLDGS
0560.HK,CHU KONG SHIP
2257.HK,SIRNAOMICS-B
80016.HK,SHK PPT-R
6860.HK,FINGERTANGO
6882.HK,EGL HOLDINGS
1238.HK,POWERLONG
1202.HK,SIWI SCI & TECH
3913.HK,KWG LIVING
1862.HK,JINGRUI HLDGS
2480.HK,LUZHU BIOTECH-B
3991.HK,CHANGHONG JH
2545.HK,ZHONGGAN COMM
1647.HK,GRANDSHORES
0828.HK,DYNASTY WINES
3816.HK,KFM KINGDOM
0894.HK,MAN YUE TECH
2262.HK,SLD GROUP
3601.HK,LUDASHI
1098.HK,ROAD KING INFRA
3318.HK,CHINA BOTON
3315.HK,GOLDPAC GROUP
0521.HK,CWT INT'L
2779.HK,CH XINHUA EDU
9663.HK,SINOSYNERGY
2281.HK,XINGLU WATER
2347.HK,YOHO GROUP
1204.HK,BOARDWARE INTEL
2450.HK,HUAIBEI GD CO
0050.HK,HK FERRY (HOLD)
2147.HK,ZHENGWEI GROUP
0450.HK,HUNG HING PRINT
0807.HK,SIICENVIRONMENT
2130.HK,CN LOGISTICS
1538.HK,ZHONG AO HOME
1010.HK,SKY BLUE 11
0628.HK,TONGTONG AI SOC
0943.HK,ZHONGZHENG INTL
1413.HK,FEG HOLDINGS
1162.HK,LUMINA GROUP
0279.HK,ARTA TECHFIN
1620.HK,CINESE INTL
9886.HK,DINGDANG HEALTH
6909.HK,BETTERLIFE HLDG
6918.HK,KIDZTECH
0227.HK,FIRST SHANGHAI
2212.HK,FB MINING
1556.HK,CHINNEY KW
1243.HK,WANG ON PPT
2680.HK,INNOVAX HLDGS
0097.HK,HENDERSON INV
1326.HK,TRANSMIT ENT
1029.HK,IRC
6888.HK,FREETECH
0418.HK,FOUNDER HOLD
2425.HK,AUSTASIA GROUP
2593.HK,HERBS GROUP
0423.HK,HKET HOLDINGS
6118.HK,AUSTAR
0106.HK,LANDSEA MGMT
0575.HK,REGENT PACIFIC
0212.HK,NANYANG HOLD
1707.HK,GEOTECH HLDGS
6133.HK,VITAL INNO
2119.HK,TSIT WING INTL
1529.HK,YUES INTL HLDG
0063.HK,CHI ASIA VALLEY
6123.HK,YTO INTL EXP
0932.HK,SHUNTEN INTL
0993.HK,XINKONG INT CAP
1090.HK,DA MING INT'L
0829.HK,SHENGUAN HLDGS
0289.HK,WING ON CO
0519.HK,NOVAUTEK
0205.HK,SEEC MEDIA
1300.HK,TRIGIANT
0480.HK,HKR INT'L
3389.HK,HENGDELI
1565.HK,VIRSCEND EDU
1217.HK,CH INNOVATION
0922.HK,ANXIANYUAN CH
1127.HK,LION ROCK GROUP
1986.HK,TSAKER NE
0037.HK,FE HOTELS
0111.HK,CINDA INTL HLDG
2239.HK,SMIT
1047.HK,NGAI HING HONG
6058.HK,CISI FIN
1183.HK,MECOM POWER
1431.HK,YST DAIRY
2195.HK,UNITY ENT
2371.HK,CHUANGLIAN HOLD
6858.HK,HONMAGOLF
0931.HK,CHINA HK POWER
1792.HK,CMON
1400.HK,MOODY TECH HLDG
2409.HK,SEACON
1471.HK,ZHONGMIAO
3322.HK,WIN HANVERKY
0391.HK,MEI AH ENTER
1795.HK,YADONG GROUP
6068.HK,WISDOM EDU INTL
6199.HK,BANK OF GUIZHOU
1643.HK,MODERN CHI MED
0025.HK,CHEVALIER INT'L
2596.HK,YIBIN BANK
1229.HK,NAN NAN RES
2502.HK,JINYUAN HCHEM
6128.HK,GRAPHEX GROUP
1871.HK,CHINA ORIENTED
2518.HK,AUTOHOME-S
0606.HK,SCE CM
1282.HK,RENZE HARVEST
0251.HK,SEA HOLDINGS
1265.HK,TIANJINJINRAN
1650.HK,HYGIEIA GROUP
0471.HK,SILKWAVE INC
1669.HK,GIC GROUP
0092.HK,CHAMPION TECH
1747.HK,HOME CONTROL
1429.HK,SKYMISSION GP
2340.HK,ISP HOLDINGS
6805.HK,KIMOU ENVIRON
0997.HK,CHINLINK INTL
1894.HK,HANG YICK HLDGS
1395.HK,ELL ENV
0396.HK,HING LEE (HK)
1432.HK,CHINA SHENGMU
0090.HK,PUXING ENERGY
1466.HK,BAIJIN LIFE SCI
1851.HK,GINGKO EDU
1292.HK,CMA LOGISTICS
1416.HK,CTR HOLDINGS
0757.HK,SOLARGIGA
2203.HK,BRAINHOLE TECH
3768.HK,DCWT
1145.HK,COURAGE INV
0612.HK,DING YI FENG
0987.HK,CH RENEW EN INV
0042.HK,NE ELECTRIC
0328.HK,ALCO HOLDINGS
6136.HK,KANGDA ENV
0057.HK,CHEN HSONG HOLD
0658.HK,C TRANSMISSION
1979.HK,TEN PAO GROUP
0417.HK,TSE SUI LUEN
1592.HK,ANCHORSTONE
2297.HK,RAINMED-B
2521.HK,SHENGHUI CLEAN
2505.HK,EDA GROUP HLDGS
2422.HK,REGO INTERACT
1966.HK,CHINA SCE GROUP
1399.HK,VESON HLDG
1521.HK,FRONTAGE
0254.HK,NUR HOLDINGS
1023.HK,SITOY GROUP
1785.HK,CHENGDU EXPWAY
1901.HK,FEIYANG GROUP
6080.HK,WING CHI HLDGS
2509.HK,QYUNS-B
6190.HK,BANKOFJIUJIANG
0071.HK,MIRAMAR HOTEL
0196.HK,HONGHUA GROUP
0738.HK,LE SAUNDA
1231.HK,NEWTON RES
0869.HK,PLAYMATES TOYS
2738.HK,HUAJIN INTL
1100.HK,MAINLAND HOLD
0393.HK,GLORIOUS SUN
1638.HK,KAISA GROUP
2120.HK,KN HOSPITAL
6830.HK,HUAZHONG IN-V
1802.HK,WENYE GROUP
2427.HK,GUANZE MEDICAL
1552.HK,BHCC HOLDING
0163.HK,EMPEROR INT'L
1720.HK,PUTIAN COMM
0149.HK,CH AGRI-PROD EX
2189.HK,KATO (HK) HLDGS
1380.HK,CHI KINGSTONE
2433.HK,ZT HN GROUP
0723.HK,RELIANCE GLO HL
0617.HK,PALIBURG HOLD
2112.HK,GRACE LIFE-TECH
2368.HK,EAGLE NICE
9908.HK,JIAXING GAS
0953.HK,SHAW BROTHERS
1348.HK,QUALI-SMART
6677.HK,SINO-OCEAN SERV
1961.HK,INFINITIES TECH
1751.HK,KINGLAND GROUP
0500.HK,FRONTIER SER
0959.HK,CENTURY ENT INT
2317.HK,VEDAN INT'L
1124.HK,COASTAL GL
1102.HK,ENVIRO ENERGY
0465.HK,FUTONG TECH
0487.HK,SUCCESSUNIVERSE
1393.HK,HIDILI INDUSTRY
1497.HK,YAN PALACE
1925.HK,KWUNGS AROMA
0573.HK,TAO HEUNG HLDGS
2031.HK,AUSUPREME
1615.HK,AB BUILDERS
2418.HK,DEEWIN
0572.HK,FW HOLDINGS
2442.HK,EASY SMART GP
2663.HK,KPA-BM HLDGS
2361.HK,SINOHEALTH HLDG
1165.HK,SFCE
0129.HK,ASIA STANDARD
0611.HK,CNE TECH CORP
9680.HK,CHENQI TECH
0655.HK,HK CHINESE LTD
3708.HK,CH SUPPLY CHAIN
82020.HK,ANTA SPORTS-R
3366.HK,OCT (ASIA)
0455.HK,TIANDA PHARMA
0367.HK,CHUANG'S INT'L
1977.HK,ANALOGUE HLDGS
2179.HK,RECBIO-B
0689.HK,EPI (HOLDINGS)
0353.HK,ENERGY INTINV
6822.HK,KING'S FLAIR
1527.HK,TENGY ENV
2139.HK,BANK OF GANSU
0222.HK,MIN XIN HOLD
0360.HK,NEW FOCUS AUTO
3683.HK,GREAT HARVEST
0703.HK,FUTURE BRIGHT
0731.HK,C&D NEWIN
1028.HK,C.BANNER
0191.HK,LAI SUN INT'L
0217.HK,CHINA CHENGTONG
3886.HK,TOWN HEALTH
2048.HK,E-HOUSE ENT
0122.HK,CROCODILE-NEW
2529.HK,HOLLWIN URBAN
1181.HK,TANG PALACE
1692.HK,TOWNRAY HLDGS
1105.HK,SING TAO
0542.HK,CN CULTURAL T&A
0433.HK,NORTH MINING
2683.HK,WAHSUN HANDBAGS
1679.HK,RISECOMM GP
1143.HK,CN ENGY STORAGE
0712.HK,COMTEC SOLAR
1617.HK,NANFANG COMM
1826.HK,FDB HOLDINGS
6609.HK,HEARTCARE-B
0556.HK,PAN ASIA ENVIRO
2458.HK,GALA TECH HOLD
1850.HK,HSC RESOURCES
2898.HK,SUNHO BIO-B
0432.HK,PCPD
2237.HK,CHINA GRAPHITE
1272.HK,DATANG ENVIRO
3773.HK,YS DIGIFAVOR
1722.HK,KIN PANG HLDGS
1937.HK,JIACHEN HOLDING
1062.HK,CDB INT'L INV
9600.HK,NEWLINK TECH
3999.HK,DACHAN FOOD
9991.HK,BAOZUN-W
2178.HK,PETRO-KING
0295.HK,KONG SUN HOLD
0768.HK,UBA INVESTMENTS
0798.HK,CEOVU
1667.HK,DIMMI LIFE HLDG
3329.HK,BOCOM INTL
1621.HK,VICO INTL HLDGS
1636.HK,CMRU
2211.HK,UNI HEALTH
1737.HK,A & S GROUP
1518.HK,NC HEALTHCARE
1284.HK,NEW MEDIA LAB
0298.HK,CHUANG'S CHINA
1978.HK,LH GROUP
1962.HK,EVERGREEN PG
3313.HK,ARTGO HOLDINGS
6913.HK,SCVE GROUP
2576.HK,TAIMEI TECH
0653.HK,BONJOUR HOLD
2101.HK,FULU HOLDINGS
1496.HK,AP RENTALS
1891.HK,HENG HUP
0574.HK,PASHUN INT'L
1273.HK,HK FINANCE GP
0876.HK,KAISA HEALTH
0674.HK,CHINA TANGSHANG
1601.HK,ZGC TEC LEASING
0771.HK,AUTOMATED SYS
0650.HK,PRODUCTIVE TECH
0401.HK,WANJIA GROUP
1671.HK,TIANBAO ENERGY
2383.HK,TOM GROUP
3699.HK,EB GRAND CHINA
6868.HK,TENFU
0681.HK,CHI PEOPLE HOLD
0211.HK,STYLAND HOLD
1442.HK,INFINITY L&T
0120.HK,COSMOPOL INT'L
0375.HK,YGM TRADING
1459.HK,JUJIANG CONS
1271.HK,GRAND MING
0383.HK,TIANAN MEDICARE
1449.HK,LEADER EDU
0929.HK,IPE GROUP
1141.HK,CMBC CAPITAL
1895.HK,XINYUAN PM
0832.HK,CENTRAL CHINA
1480.HK,YAN TAT GROUP
1553.HK,MAIKE TUBE
2221.HK,NEW CONCEPTS
0026.HK,CHINA MOTOR BUS
1328.HK,GOLDSTREAM-NEW
1796.HK,METASPACEX
0028.HK,TIAN AN
0150.HK,HYPEBEAST
1257.HK,CEB GREENTECH
0641.HK,CHTC FONG'S INT
0058.HK,SUNWAY INT'L
0280.HK,KING FOOK HOLD
0711.HK,ASIA ALLIED INF
0858.HK,EXTRAWELL PHAR
0893.HK,CHINAVTM MINING
2455.HK,RUNHUA SERVICE
1278.HK,CHINANEWTOWN
0978.HK,CHI MER LAND
0750.HK,SFSY ENERGY
1402.HK,I-CONTROL
0726.HK,DIT GROUP
1224.HK,C C LAND
1540.HK,LEFTFIELD PRINT
1583.HK,QINQIN FOODS
1376.HK,RAFFLESINTERIOR
0021.HK,GREAT CHI HLDGS
0046.HK,COMPUTER & TECH
2420.HK,ZIBUYU
0698.HK,TONGDA GROUP
0225.HK,POKFULAM
2080.HK,AUX INTL
0105.HK,ASSO INT HOTELS
6158.HK,ZHENRO PPT
1314.HK,TSUI WAH HLDG
1586.HK,LEON INSPECTION
2497.HK,FUJING HOLDINGS
1498.HK,PURAPHARM
1046.HK,UNIVERSE ENT
0979.HK,GREEN ENERGY GP
1080.HK,SHENGLI PIPE
1153.HK,JIAYUAN SER
1561.HK,PAN ASIA DATA H
1123.HK,CHINA-HK PHOTO
1917.HK,DOUMOB
1490.HK,AI X TECH
1767.HK,TS WONDERS
0439.HK,KUANGCHI
1655.HK,OKURA HOLDINGS
0216.HK,CHINNEY INV
0526.HK,LISI GP HOLD
0814.HK,JINGKELONG
0722.HK,UMP
0276.HK,MONGOLIA ENERGY
1682.HK,HP LIVING TECH
1676.HK,GAODI HOLDINGS
3623.HK,C SUCCESS FIN
2358.HK,JIU RONG HOLD
1778.HK,COLOUR LIFE
1338.HK,BAWANG GROUP
1039.HK,CHANGYOU INT GP
0369.HK,WING TAI PPT
0243.HK,QPL INT'L
1407.HK,JY GAS
0718.HK,TAI UNITED HOLD
2298.HK,COSMO LADY
9857.HK,LINMON MEDIA
2008.HK,PHOENIX TV
2885.HK,PEIPORT HOLD
2152.HK,SUXIN SERVICES
0540.HK,SPEEDY GLOBAL
6038.HK,G & M HLDGS
0952.HK,QUAM PLUS FIN
0365.HK,SINO ICT
2892.HK,MILLION CITIES
1909.HK,FIRE ROCK
2882.HK,3DG HOLDINGS
0679.HK,ASIA TELE-NET
1418.HK,SINOMAX GROUP
2266.HK,LAI SI ENT
2329.HK,GLORY HEALTH
0335.HK,UPBEST GROUP
1068.HK,YURUN FOOD
1340.HK,HUISHENG INTL
1608.HK,VPOWER GROUP
6633.HK,QINGCI GAMES
2280.HK,HC GROUP
0518.HK,TUNGTEX (HOLD)
0089.HK,TAI SANG LAND
1285.HK,JIASHILI GP
0095.HK,LVGEM CHINA
1680.HK,MACAU LEGEND
1134.HK,KELFRED
3938.HK,LFG INV HLDGS
3789.HK,ROYAL DELUXE
1622.HK,REDCO GROUP
1705.HK,B & S INTL HLDG
1245.HK,NIRAKU
6093.HK,HEVOL SERVICES
1455.HK,FOURACE IND GP
0334.HK,CH DISPLAY OPT
3368.HK,PARKSON GROUP
2175.HK,CH GENERAL EDU
1343.HK,WEI YUAN HLDG
1938.HK,CHU KONG PIPE
0809.HK,GLOBAL BIO-CHEM
6999.HK,LEADING HLDGS
0309.HK,XH NEWS MEDIA
2181.HK,MABPHARM-B
2377.HK,BOQI ENV
3666.HK,SHANGHAI XNG
0271.HK,ASIASEC PPT
1218.HK,EASYKNIT INT'L
0496.HK,KASEN
1842.HK,GROWN UP GROUP
1912.HK,CONTEL
1710.HK,TRIO IND ELEC
1803.HK,BJ SPORTS & ENT
0077.HK,AMS TRANSPORT
2302.HK,CNNC INT'L
0610.HK,WAI KEE HOLD
2528.HK,FW FASHION INT
3928.HK,CHINA NEXT-GEN
6833.HK,SINCO PHARMA
0484.HK,FORGAME
0747.HK,SHENYANG PUBLIC
1463.HK,C-LINK SQ
0491.HK,EMPEROR CULTURE
0356.HK,DT CAPITAL
0438.HK,IRICO NEWENERGY
1753.HK,DUIBA
1971.HK,RSUN SER
1591.HK,SHUN WO GROUP
2370.HK,REDCO HEALTHY
1949.HK,PLATT NERA
3963.HK,RONGZHONG FIN
0888.HK,BISON FINANCE
2023.HK,CHINA LUDAO
1559.HK,KWAN ON HLDGS
2381.HK,SMC ELECTRIC
0313.HK,RICHLY FIELD
0080.HK,CNEWECON FUND
0072.HK,META MEDIA
1545.HK,DESIGN CAPITAL
3997.HK,TSO
1351.HK,BRIGHT FUTURE
1777.HK,FANTASIA
3302.HK,KINERGY
0235.HK,CSC HOLDINGS
1955.HK,JOHNSON HLDGS
0379.HK,EG LEASING
0954.HK,CHANGMAO BIO
1216.HK,ZYBANK
1750.HK,REM GROUP HLDGS
2226.HK,HONWORLD GP
0244.HK,SINCERE
1820.HK,PM PACKAGING
1389.HK,MAJOR HLDGS
1536.HK,YUK WING GP
0994.HK,CT VISION SL
9998.HK,KWAN YONG
0974.HK,SKL
0131.HK,CHEUK NANG HOLD
1935.HK,JH EDUCATION
2325.HK,YUNKANG GROUP
0915.HK,DAOHE GLOBAL
6063.HK,LOTUS HORIZON
0924.HK,KHOON GROUP
1543.HK,JOIN-SHARE
2376.HK,LUSHANGSERVICES
1526.HK,RICI HEALTH
0607.HK,FULLSHARE
1983.HK,LUZHOU BANK
1221.HK,SINO HOTELS
0146.HK,TAI PING CARPET
0713.HK,WORLD HOUSEWARE
1569.HK,MINSHENG EDU
0603.HK,CHINA OIL & GAS
6839.HK,YUNNAN WATER
1930.HK,SHINELONG
0684.HK,ALLAN INT'L
1945.HK,ZERO2IPO
9958.HK,LITIAN PICTURES
6968.HK,GANGLONG CHINA
1334.HK,RUICHANG INTL
0171.HK,SILVER GRANT
3348.HK,CHINA PENGFEI
0918.HK,MAJESTIC DRAGON
1327.HK,LUXXU GROUP
1388.HK,EMBRY HOLDINGS
9893.HK,PIZU GROUP
0428.HK,COCOON HOLDINGS
2728.HK,JINTAI ENERGY H
1305.HK,WAI CHI HOLD
1933.HK,ONEFORCE HLDGS
0403.HK,STARLITE HOLD
0608.HK,HIGH FASHION
1889.HK,SANAI HEALTH GP
2270.HK,DESUN SERVICES
2969.HK,PARENTING NET
0919.HK,MODERNHEALTHTEC
82331.HK,LI NING-R
0329.HK,OCI INTL
1652.HK,FUSEN PHARM
6288.HK,FAST RETAIL-DRS
6933.HK,SINO-ENTERTAIN
0927.HK,FUJIKON IND
0474.HK,ACESO LIFE SCI
1959.HK,CENT UNIT HLDG
2146.HK,ROISERV
1237.HK,CH ENV TECH&BIO
3798.HK,HOMELAND ITL
0682.HK,CHAODA MODERN
0430.HK,ORIENTAL EXPL
0693.HK,TAN CHONG INT'L
0320.HK,COMPUTIME
0821.HK,VC HOLDINGS
0629.HK,YUE DA INTL
0259.HK,YEEBO (INT'L H)
0725.HK,PERENNIAL INT'L
6117.HK,RIZHAO PORT JR
1472.HK,SANG HING HLDGS
1206.HK,TECHNOVATOR
0061.HK,GREEN LEADER
0406.HK,YAU LEE HOLD
0197.HK,HENG TAI
1063.HK,SUNCORP TECH
1927.HK,JIUJIUWANG
1281.HK,XINDA INV HLDGS
0306.HK,KWOON CHUNG BUS
2271.HK,ZHONGAN SERVICE
3639.HK,YIDA CHINA
2482.HK,LOGORY
1581.HK,PROGRESSIVE P
0312.HK,SHIRBLE STORE
2558.HK,JINSHANG BANK
0346.HK,YANCHANG PETRO
2258.HK,WATTS INT'L
0348.HK,CHINAHEALTHWISE
9963.HK,TRANSTECH
2530.HK,NUMANS
1835.HK,REALWAY CAPITAL
1532.HK,CHINA PARTYTIME
0183.HK,WINFULL GP
1936.HK,RITAMIX
0351.HK,ASIA ENERGY LOG
0601.HK,REMT
0947.HK,MOBI DEV
0643.HK,CARRY WEALTH
2326.HK,NPE HOLDINGS
3836.HK,HARMONY AUTO
3603.HK,XINJI SHAXI
3326.HK,PERFECT GROUP
1868.HK,NEO-NEON
0219.HK,SHUNHO PROPERTY
0188.HK,SUNWAH KINGSWAY
1163.HK,ADTIGER CORP
0160.HK,HON KWOK LAND
0368.HK,SUPERLAND GROUP
0475.HK,CENTRAL DEV H
0989.HK,HUA YIN INTL H
2193.HK,MAN KING HOLD
6033.HK,TELECOM DIGIT
0859.HK,ZHONGCHANG INTL
0488.HK,LAI SUN DEV
